2022-03-07 09:30:38,891 [1] INFO  Photon.StarDust.Client.Program - Starting 5 games with 3 players
2022-03-07 09:30:39,337 [7] INFO  Photon.StarDust.Client.Program - [23444] Started game DESKTOP-N1G7OBO(23444)1 with 3 clients
2022-03-07 09:30:39,744 [7] INFO  Photon.StarDust.Client.Program - [23444] Started game DESKTOP-N1G7OBO(23444)2 with 3 clients
2022-03-07 09:31:21,234 [39] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:22,235 [42] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:23,244 [16] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:24,251 [16] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:25,261 [34] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:26,268 [15] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:27,278 [40] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:28,288 [39] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:29,295 [40] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:30,304 [35] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
